date,group,Class,ClassID,title,URL
October 14 2021,Ngozi Okonjo-Iweala,Finance,1,A common approach to the cost of polluting is a fair and straightforward solution,https://www.ft.com/content/b0bcc93c-c6d6-475e-bf32-0d10f71ef393
October 14 2021,Martin Sandbu,Finance,1,IEA report shows current pledges fall short — and points to free lunches,https://www.ft.com/content/9918f2da-131f-4f2a-81e6-a179a23ce1d0
October 14 2021,Turkish economy,Fintech,0,President removes two deputy governors in new round of dismissals sending currency down 1%,https://www.ft.com/content/88cbe503-e5a0-40d4-8b6e-17ee9567bb97
October 14 2021,Chinese economy,Fintech,0,Producer price index climbs 10.7% cent in September on a year earlier as energy crunch tightens,https://www.ft.com/content/75871eb7-360e-40b5-9bb3-d65fbf649ee7
October 14 2021,FT Magazine,Fintech,0,"The country’s supply issues have been exacerbated by Brexit, but that’s not the whole story",https://www.ft.com/content/ff650169-34bc-4ac9-9dc9-dcc429c580ec
October 13 2021,FT live news,Fintech,0,,
October 13 2021,UK business & economy,Fintech,0,Ministers urged to overhaul ‘outdated and outmoded’ regime or face losing investment,https://www.ft.com/content/7df80c7f-4bfa-46ad-b20c-aa02cb801930
October 13 2021,Equities,Fintech,0,US figures on consumer prices released on Wednesday come in slightly higher than forecast,https://www.ft.com/content/3b2d3e57-1575-47ed-8442-9b4ee00b36d5
October 13 2021,Supply chains,Fintech,0,"Biden administration secures commitment from Walmart, UPS and FedEx to work round the clock",https://www.ft.com/content/8055d806-3166-48c9-9786-9bdea0e2d806
October 13 2021,Brexit,Fintech,0,Brussels and London remain far apart on key aspects of trading arrangements,https://www.ft.com/content/053c3a21-166a-4c2f-b6f3-335ba70ef6c8
October 13 2021,Federal Reserve,Fintech,0,Federal Open Market Committee meeting minutes indicate stimulus programme could end by mid-2022,https://www.ft.com/content/c52493ff-cc51-4e69-b532-acbd0bdee8c4
October 13 2021,Supply chains,Fintech,0,Problems accessing Felixstowe now reportedly being felt at other facilities,https://www.ft.com/content/feea45fb-dbcd-4059-b541-e0b6b5c9db51
October 13 2021,Bank of England,Fintech,0,Move follows rumours that deputy governor Ben Broadbent revealed policy information at a gathering,https://www.ft.com/content/e73dafe5-47f2-4121-8e43-bda50e9bab9d
October 13 2021,The editorial board,Fintech,0,"Negotiation, not confrontation, is needed over post-Brexit trade rules",https://www.ft.com/content/7fe1acf2-7c6c-4907-99f9-1271a697811f
October 13 2021,The Road to Recovery,Fintech,0,GDP rise of 0.4 per cent could be shortlived as challenges mount,https://www.ft.com/content/2c1e11e3-3d86-41af-b0c4-b8d0593be473
October 13 2021,US Inflation,Fintech,0,Consumer price index hovers at 13-year high as food and housing grow more expensive,https://www.ft.com/content/4581bd5d-0771-44ca-93ac-13c4ed2a66be
October 13 2021,Stephen Roach,Fintech,0,Today’s generation of central bankers is afflicted with the same sense of denial that proved problematic in the 1970s,https://www.ft.com/content/99eacd37-a2e0-4c74-b6de-99c1ca7caa70
October 13 2021,Brexit,Fintech,0,Brussels says its proposals are a final chance to end bitter trade rift with London,https://www.ft.com/content/98bd08ca-faee-4476-947d-2f3817928ee3
October 13 2021,Food Prices,Fintech,0,Consumer inflationary pressure has hit the kitchen table and food export markets could be next,https://www.ft.com/content/9f8f6fea-467e-4bd8-aad2-77baf831dbdd
October 13 2021,German economy,Fintech,0,"The single currency’s introduction has widened German inequality; reversing that trend is good not only for workers here but across the eurozone, argues Rui Soares.",https://www.ft.com/content/74d6cb15-ade1-4d45-ad67-262796b431ab
